MiniDOT Logger Concatenated Data File
Sensor:             7450-420961
Concatenation Date: 2023ene24 14:38:45 CLST

DO concentration compensated for salinity: 34.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,                 Hora de Chile,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1667916000,           2022-11-08 14:00:00,           2022-11-08 11:00:00,      2.990000,     21.965000,          6.526090,                    90.900377,      1.013000
                1667916600,           2022-11-08 14:10:00,           2022-11-08 11:10:00,      2.990000,     22.073000,          6.506598,                    90.803244,      1.012000
                1667917200,           2022-11-08 14:20:00,           2022-11-08 11:20:00,      2.990000,     22.223000,          6.535104,                    91.444392,      1.013000
                1667917800,           2022-11-08 14:30:00,           2022-11-08 11:30:00,      2.990000,     21.147000,          6.631359,                    91.022420,      1.010000
                1667918400,           2022-11-08 14:40:00,           2022-11-08 11:40:00,      2.990000,     20.538000,          6.701500,                    90.975839,      1.011000
                1667919000,           2022-11-08 14:50:00,           2022-11-08 11:50:00,      2.990000,     20.120000,          6.735749,                    90.745443,      1.010000
                1667919600,           2022-11-08 15:00:00,           2022-11-08 12:00:00,      2.990000,     19.735000,          6.782524,                    90.731436,      1.010000
                1667920200,           2022-11-08 15:10:00,           2022-11-08 12:10:00,      3.000000,     19.417000,          6.822557,                    90.732261,      1.010000
                1667920800,           2022-11-08 15:20:00,           2022-11-08 12:20:00,      3.000000,     19.191000,          6.861866,                    90.873117,      1.011000
                1667921400,           2022-11-08 15:30:00,           2022-11-08 12:30:00,      3.000000,     19.132000,          6.853889,                    90.667924,      1.011000
                1667922000,           2022-11-08 15:40:00,           2022-11-08 12:40:00,      3.000000,     19.065000,          6.862985,                    90.675080,      1.011000
