MiniDOT Logger Concatenated Data File
Sensor:             7392-244649
Concatenation Date: 2023jun23 15:59:02 CLT

DO concentration compensated for salinity: 34.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,                 Hora de Chile,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1687203720,           2023-06-19 19:42:00,           2023-06-19 15:42:00,      2.660000,     14.720000,          7.334364,                    89.107200,      1.217000
                1687204620,           2023-06-19 19:57:00,           2023-06-19 15:57:00,      2.660000,     14.660000,          7.292251,                    88.489194,      1.216000
                1687205520,           2023-06-19 20:12:00,           2023-06-19 16:12:00,      2.660000,     14.651000,          7.282406,                    88.353795,      1.216000
                1687206420,           2023-06-19 20:27:00,           2023-06-19 16:27:00,      2.660000,     14.625000,          7.267485,                    88.126850,      1.213000
                1687207320,           2023-06-19 20:42:00,           2023-06-19 16:42:00,      2.660000,     14.660000,          7.260612,                    88.105271,      1.214000
                1687208220,           2023-06-19 20:57:00,           2023-06-19 16:57:00,      2.660000,     14.643000,          7.251481,                    87.964505,      1.213000
                1687209120,           2023-06-19 21:12:00,           2023-06-19 17:12:00,      2.650000,     14.634000,          7.249749,                    87.927633,      1.212000
                1687210020,           2023-06-19 21:27:00,           2023-06-19 17:27:00,      2.660000,     14.634000,          7.255427,                    87.996503,      1.211000
                1687210920,           2023-06-19 21:42:00,           2023-06-19 17:42:00,      2.660000,     14.643000,          7.339093,                    89.027282,      1.212000
                1687211820,           2023-06-19 21:57:00,           2023-06-19 17:57:00,      2.660000,     14.617000,          7.374464,                    89.409749,      1.211000
                1687212720,           2023-06-19 22:12:00,           2023-06-19 18:12:00,      2.660000,     14.625000,          7.371318,                    89.385945,      1.211000
                1687213620,           2023-06-19 22:27:00,           2023-06-19 18:27:00,      2.660000,     14.617000,          7.348506,                    89.095030,      1.210000
                1687214520,           2023-06-19 22:42:00,           2023-06-19 18:42:00,      2.650000,     14.625000,          7.346171,                    89.081008,      1.210000
                1687215420,           2023-06-19 22:57:00,           2023-06-19 18:57:00,      2.660000,     14.643000,          7.330170,                    88.919036,      1.209000
                1687216320,           2023-06-19 23:12:00,           2023-06-19 19:12:00,      2.660000,     14.677000,          7.346003,                    89.171813,      1.211000
                1687217220,           2023-06-19 23:27:00,           2023-06-19 19:27:00,      2.660000,     14.625000,          7.366451,                    89.326925,      1.211000
                1687218120,           2023-06-19 23:42:00,           2023-06-19 19:42:00,      2.660000,     14.634000,          7.350339,                    89.147620,      1.209000
                1687219020,           2023-06-19 23:57:00,           2023-06-19 19:57:00,      2.660000,     14.634000,          7.367374,                    89.354231,      1.209000
                1687219920,           2023-06-20 00:12:00,           2023-06-19 20:12:00,      2.650000,     14.634000,          7.379542,                    89.501810,      1.210000
                1687220820,           2023-06-20 00:27:00,           2023-06-19 20:27:00,      2.660000,     14.660000,          7.373375,                    89.473610,      1.210000
                1687221720,           2023-06-20 00:42:00,           2023-06-19 20:42:00,      2.660000,     14.643000,          7.377220,                    89.489787,      1.210000
                1687222620,           2023-06-20 00:57:00,           2023-06-19 20:57:00,      2.660000,     14.617000,          7.394743,                    89.655623,      1.210000
